#framerate (fps):	2.00

#Frame	PersID	x/m	y/m	z/m	Individual density(m^(-2))	Individual velocity(m/s)	Voronoi Polygon
00013	 24	 14.1963	 18.8965	 1.2000	 0.3403	 0.9899	 (((151963.000000, 188965.000000), (150053.169906, 183087.147425), (145053.169889, 179454.434819), (138872.830008, 179454.434853), (133872.830031, 183087.147512), (131963.000000, 188965.000036), (133872.830073, 194842.852546), (138872.830077, 198475.565170), (145053.169957, 198475.565159), (150053.169948, 194842.852517), (151963.000000, 188965.000000)))
00013	 32	 14.5277	 9.7832	 1.2000	 0.4213	 0.9915	 (((155277.000000, 97831.999928), (153542.097619, 92492.519555), (140215.814137, 89753.461721), (137186.830031, 91954.147512), (135292.992270, 97782.780888), (146144.004123, 107342.565163), (148367.169957, 107342.565159), (153367.169948, 103709.852517), (155277.000000, 97831.999928)))
00013	 7	 14.6258	 2.4311	 1.2000	 0.4410	 0.9648	 (((149348.169889, 14800.434819), (146531.061516, 14800.324526), (138225.474205, 30230.853239), (143167.830077, 33821.565170), (149348.169957, 33821.565159), (154348.169948, 30188.852517), (156258.000000, 24310.999928), (154348.169906, 18433.147425), (149348.169889, 14800.434819)))
00013	 27	 14.8053	 8.4326	 1.2000	 0.4282	 0.9824	 (((147891.967548, 74815.434837), (138506.829492, 85722.743577), (139787.969410, 89665.686767), (153113.923305, 92404.729036), (156143.169948, 90203.852517), (158053.000000, 84325.999928), (156143.169906, 78448.147425), (151143.169889, 74815.434819), (147891.967548, 74815.434837)))
00013	 31	 15.0477	 4.4109	 1.2000	 0.3630	 0.9848	 (((140477.000000, 44109.000036), (141087.696991, 45988.532091), (150217.072819, 53619.565165), (153567.169957, 53619.565159), (158567.169948, 49986.852517), (160477.000000, 44108.999928), (158567.169906, 38231.147425), (153567.169889, 34598.434819), (147386.830008, 34598.434853), (142386.830031, 38231.147512), (140477.000000, 44109.000036)))
00014	 48	 5.1472	 12.6248	 1.2000	 0.3544	 1.0021	 (((54562.169889, 116737.434819), (48381.830008, 116737.434853), (43381.830031, 120370.147512), (41472.000000, 126248.000036), (43381.830073, 132125.852546), (48381.830077, 135758.565170), (54562.169957, 135758.565159), (59562.169948, 132125.852517), (60900.455506, 128007.033081), (57053.698325, 118547.636164), (54562.169889, 116737.434819)))
00014	 21	 6.5694	 7.0806	 1.2000	 0.3504	 1.0090	 (((71670.285691, 63392.320663), (68784.169889, 61295.434819), (62603.830008, 61295.434853), (57603.830031, 64928.147512), (55694.000000, 70806.000036), (57603.830073, 76683.852546), (62603.830077, 80316.565170), (68784.169957, 80316.565159), (73784.169948, 76683.852517), (75313.211979, 71977.945025), (71670.285691, 63392.320663)))
00014	 30	 6.5936	 15.6967	 1.2000	 0.3403	 0.9968	 (((75936.000000, 156967.000000), (74026.169906, 151089.147425), (69026.169889, 147456.434819), (62845.830008, 147456.434853), (57845.830031, 151089.147512), (55936.000000, 156967.000036), (57845.830073, 162844.852546), (62845.830077, 166477.565170), (69026.169957, 166477.565159), (74026.169948, 162844.852517), (75936.000000, 156967.000000)))
00014	 2	 6.6425	 12.0167	 1.2000	 0.4409	 1.0002	 (((69515.169889, 110656.434819), (63334.830008, 110656.434853), (58334.830031, 114289.147512), (56996.593248, 118407.816884), (60843.649367, 127867.616449), (62973.416268, 129414.982669), (68255.059357, 127621.856531), (74971.131630, 115692.453285), (74515.169906, 114289.147425), (69515.169889, 110656.434819)))
00014	 11	 7.1342	 13.4650	 1.2000	 0.4232	 0.9461	 (((81342.000000, 134649.999928), (80927.915040, 133375.577493), (68255.059357, 127621.856531), (63051.582388, 129388.446396), (61342.000000, 134650.000036), (63251.830073, 140527.852546), (68251.830077, 144160.565170), (74432.169957, 144160.565159), (79432.169948, 140527.852517), (81342.000000, 134649.999928)))
00014	 3	 7.2822	 9.9744	 1.2000	 0.3403	 1.0098	 (((82822.000000, 99744.000000), (80912.169906, 93866.147425), (75912.169889, 90233.434819), (69731.830008, 90233.434853), (64731.830031, 93866.147512), (62822.000000, 99744.000036), (64731.830073, 105621.852546), (69731.830077, 109254.565170), (75912.169957, 109254.565159), (80912.169948, 105621.852517), (82822.000000, 99744.000000)))
00014	 22	 7.4098	 18.5379	 1.2000	 0.4060	 0.9864	 (((82949.839055, 181845.323972), (68599.336767, 177618.307638), (66007.830031, 179501.147512), (64098.000000, 185379.000036), (66007.830073, 191256.852546), (71007.830077, 194889.565170), (77188.169957, 194889.565159), (80225.051216, 192682.922561), (83826.164629, 184541.930612), (82949.839055, 181845.323972)))
00014	 37	 7.4550	 3.8113	 1.2000	 0.3403	 0.9828	 (((84550.000000, 38113.000000), (82640.169906, 32235.147425), (77640.169889, 28602.434819), (71459.830008, 28602.434853), (66459.830031, 32235.147512), (64550.000000, 38113.000036), (66459.830073, 43990.852546), (71459.830077, 47623.565170), (77640.169957, 47623.565159), (82640.169948, 43990.852517), (84550.000000, 38113.000000)))
00014	 23	 7.5578	 12.5320	 1.2000	 0.6098	 0.9655	 (((74905.274307, 115809.434840), (68255.059357, 127621.856531), (80769.675138, 133303.732268), (83668.169948, 131197.852517), (84669.253365, 128116.834562), (77905.698123, 115809.434823), (74905.274307, 115809.434840)))
00014	 1	 7.7427	 17.4077	 1.2000	 0.3948	 0.9905	 (((68575.267407, 177611.003691), (82925.451374, 181837.846286), (85517.169948, 179954.852517), (87427.000000, 174076.999928), (85517.169906, 168199.147425), (80517.169889, 164566.434819), (74336.830008, 164566.434853), (69336.830031, 168199.147512), (67427.000000, 174077.000036), (68575.267407, 177611.003691)))
00014	 12	 8.1154	 6.4246	 1.2000	 0.3529	 0.9987	 (((84083.634321, 54735.434820), (78063.830008, 54735.434853), (73063.830031, 58368.147512), (71534.856328, 63073.844769), (75178.135046, 71659.985018), (78063.830077, 73756.565170), (84244.169957, 73756.565159), (89244.169948, 70123.852517), (91154.000000, 64245.999928), (89527.082135, 59238.861715), (84083.634321, 54735.434820)))
00014	 13	 8.7182	 11.8943	 1.2000	 0.3788	 0.9731	 (((78090.747650, 116146.162318), (84854.303098, 128453.565168), (90272.169957, 128453.565159), (95272.169948, 124820.852517), (97182.000000, 118942.999928), (95272.169906, 113065.147425), (90272.169889, 109432.434819), (84091.830008, 109432.434853), (79091.830031, 113065.147512), (78090.747650, 116146.162318)))
00014	 33	 8.9751	 19.2303	 1.2000	 0.3798	 0.9994	 (((92841.169889, 182792.434819), (86660.830008, 182792.434853), (83624.196131, 184998.518263), (80022.981454, 193139.739140), (81660.830073, 198180.852546), (84164.664280, 199999.994571), (95337.335748, 199999.994551), (97841.169948, 198180.852517), (97954.300523, 197832.225879), (98328.205747, 187924.327207), (97841.169906, 186425.147425), (92841.169889, 182792.434819)))
00014	 25	 9.2877	 5.0076	 1.2000	 0.3744	 0.9433	 (((101906.793452, 47090.011276), (100967.169906, 44198.147425), (95967.169889, 40565.434819), (89786.830008, 40565.434853), (84786.830031, 44198.147512), (82877.000000, 50076.000036), (84503.919015, 55083.141849), (89947.362417, 59586.565169), (95967.169957, 59586.565159), (96302.215800, 59343.140104), (101906.793452, 47090.011276)))
00014	 4	 9.3315	 1.8964	 1.2000	 0.4276	 1.0043	 (((102331.117700, 15935.921640), (92634.506888, 9453.434840), (90224.830008, 9453.434853), (85224.830031, 13086.147512), (83315.000000, 18964.000036), (85224.830073, 24841.852546), (89280.713813, 27788.624556), (102894.418704, 20258.416134), (103315.000000, 18963.999928), (102331.117700, 15935.921640)))
00014	 43	 9.7060	 14.9585	 1.2000	 0.4272	 0.9620	 (((98562.188759, 140074.434828), (93969.830008, 140074.434853), (88969.830031, 143707.147512), (87060.000000, 149585.000036), (88969.830073, 155462.852546), (93969.830077, 159095.565170), (100150.169957, 159095.565159), (104456.828695, 155966.594425), (98562.188759, 140074.434828)))
00014	 14	 9.8869	 8.7253	 1.2000	 0.3426	 0.9828	 (((108080.678066, 89679.205442), (108057.396199, 84755.140330), (106959.169906, 81375.147425), (101959.169889, 77742.434819), (95778.830008, 77742.434853), (90778.830031, 81375.147512), (88869.000000, 87253.000036), (90778.830073, 93130.852546), (95778.830077, 96763.565170), (101959.169957, 96763.565159), (106959.169948, 93130.852517), (108080.678066, 89679.205442)))
00014	 38	 9.8900	 2.9061	 1.2000	 0.4558	 1.0163	 (((102934.280927, 20236.371630), (89320.582865, 27766.579059), (88900.000000, 29061.000036), (90809.830073, 34938.852546), (95809.830077, 38571.565170), (101990.169957, 38571.565159), (105851.922469, 35765.837720), (106775.978856, 33805.417165), (103483.791986, 20635.614779), (102934.280927, 20236.371630)))
00014	 20	 10.1683	 0.6447	 1.2000	 0.4092	 0.9900	 (((92666.964147, 9475.330259), (102363.141403, 15957.565163), (104773.169957, 15957.565159), (109773.169948, 12324.852517), (111683.000000, 6446.999928), (109773.169906, 569.147425), (108989.812319, 0.004831), (94376.187611, 0.004910), (93592.830031, 569.147512), (91683.000000, 6447.000036), (92666.964147, 9475.330259)))
00014	 5	 10.5553	 5.5874	 1.2000	 0.3906	 0.9956	 (((108643.169889, 46363.434819), (102462.830008, 46363.434853), (102127.787865, 46606.857221), (96523.206673, 58859.989108), (97462.830073, 61751.852546), (102462.830077, 65384.565170), (108643.169957, 65384.565159), (113643.169948, 61751.852517), (115033.877961, 57471.693915), (110534.812020, 47737.793258), (108643.169889, 46363.434819)))
00014	 26	 10.5903	 14.6305	 1.2000	 0.5797	 0.9932	 (((108339.249542, 136794.434823), (102812.830008, 136794.434853), (98506.169856, 139923.406638), (104400.808493, 155815.565167), (108993.169957, 155815.565159), (112359.575845, 153369.728109), (108339.249542, 136794.434823)))
00014	 49	 10.6551	 19.2937	 1.2000	 0.4274	 1.0048	 (((115385.803498, 189350.893920), (102638.711165, 184023.739161), (98460.830031, 187059.147512), (98347.751898, 187406.385025), (97973.753439, 197316.754310), (98460.830073, 198814.852546), (100092.038537, 199999.994861), (113009.961488, 199999.994838), (114641.169948, 198814.852517), (116551.000000, 192936.999928), (115385.803498, 189350.893920)))
00014	 19	 11.1493	 2.5913	 1.2000	 0.4748	 1.0105	 (((114583.169889, 16402.434819), (108402.830008, 16402.434853), (103402.830031, 20035.147512), (103363.751229, 20155.422721), (106775.978856, 33805.417165), (120544.753208, 28831.403544), (121340.649785, 26381.885750), (115837.259953, 17313.584573), (114583.169889, 16402.434819)))
00014	 36	 11.1730	 18.0545	 1.2000	 0.3772	 0.9808	 (((108639.830008, 171034.434853), (103639.830031, 174667.147512), (101730.000000, 180545.000036), (102895.116033, 184130.858429), (115642.255925, 189458.284740), (119820.169948, 186422.852517), (121730.000000, 180544.999928), (119820.169906, 174667.147425), (115486.993413, 171518.910462), (114367.283619, 171034.434822), (108639.830008, 171034.434853)))
00014	 46	 11.4862	 14.4132	 1.2000	 0.6046	 0.9673	 (((117952.169889, 134621.434819), (111771.830008, 134621.434853), (108405.422514, 137067.273088), (112425.749731, 153642.565168), (116077.247836, 153642.567141), (117023.477582, 153405.254012), (121067.616951, 136884.939574), (117952.169889, 134621.434819)))
00014	 40	 11.5448	 3.6861	 1.2000	 0.4799	 1.0138	 (((123538.169906, 30983.147425), (120565.989050, 28823.731660), (106775.978856, 33805.417165), (105697.151851, 36094.189475), (105448.000000, 36861.000036), (107357.830073, 42738.852546), (111092.903167, 45452.541980), (121137.793238, 41783.889988), (124605.007468, 34266.535749), (123538.169906, 30983.147425)))
00014	 17	 11.7269	 8.7166	 1.2000	 0.4266	 0.9673	 (((114178.830008, 77655.434853), (109178.830031, 81288.147512), (108057.324262, 84739.787401), (108080.606541, 89663.868098), (109178.830073, 93043.852546), (114178.830077, 96676.565170), (120359.169957, 96676.565159), (125359.169948, 93043.852517), (125962.132275, 91188.125288), (116494.046295, 77655.434840), (114178.830008, 77655.434853)))
00014	 45	 11.9494	 16.2601	 1.2000	 0.3502	 0.9766	 (((127584.169906, 156723.147425), (125743.599242, 155385.894579), (117023.477582, 153405.254012), (115415.428519, 153808.550522), (111403.830031, 156723.147512), (109494.000000, 162601.000036), (111403.830073, 168478.852546), (115736.998653, 171627.083784), (116856.722405, 172111.565169), (122584.169957, 172111.565159), (127584.169948, 168478.852517), (129494.000000, 162600.999928), (127584.169906, 156723.147425)))
00014	 50	 11.9960	 4.9215	 1.2000	 0.5934	 0.9924	 (((111194.559525, 45415.416458), (110479.122355, 47617.305689), (114978.188946, 57351.207448), (115136.115592, 57465.947545), (127635.435081, 52945.032649), (128038.276861, 51222.621040), (121137.793238, 41783.889988), (111194.559525, 45415.416458)))
00014	 34	 12.3224	 14.6179	 1.2000	 0.6530	 0.9953	 (((121120.616651, 136668.434847), (117023.477582, 153405.254012), (126496.700424, 155556.949011), (128251.258652, 154282.187838), (127854.818240, 139977.546881), (122298.887783, 136668.434841), (121120.616651, 136668.434847)))
00014	 28	 12.4122	 6.0722	 1.2000	 0.5379	 0.9554	 (((114167.822485, 60863.027143), (116031.830073, 66599.852546), (118077.194428, 68085.896727), (133217.293595, 63506.400012), (133615.312647, 62281.423328), (127635.435081, 52945.032649), (115185.793719, 57447.979576), (114542.618201, 59427.470306), (114167.822485, 60863.027143)))
00014	 41	 12.5163	 8.1643	 1.2000	 0.6112	 0.9770	 (((117072.830031, 75765.147512), (116469.868080, 77620.873606), (125937.952165, 91153.565163), (128253.169957, 91153.565159), (133253.169948, 87520.852517), (133871.947823, 85616.450037), (128609.695301, 76711.606873), (118410.293877, 74793.423138), (117072.830031, 75765.147512)))
00014	 47	 12.5471	 1.7430	 1.2000	 0.4458	 0.9818	 (((128561.169889, 7919.434819), (122380.830008, 7919.434853), (117380.830031, 11552.147512), (115623.350841, 16961.112355), (121126.743560, 26029.417986), (122380.830077, 26940.565170), (128561.169957, 26940.565159), (129733.910433, 26088.519327), (130617.510668, 9413.453828), (128561.169889, 7919.434819)))
00014	 8	 12.7190	 7.0865	 1.2000	 0.6593	 0.9894	 (((135280.169906, 64987.147425), (133234.805431, 63501.103168), (118094.706939, 68080.598345), (117190.000000, 70865.000036), (118470.075463, 74804.667171), (128609.695301, 76711.606873), (135778.054993, 66519.480124), (135280.169906, 64987.147425)))
00014	 29	 12.8576	 4.2916	 1.2000	 0.5041	 0.9644	 (((131666.169889, 33405.434819), (125485.830008, 33405.434853), (124758.413847, 33933.933635), (121137.793238, 41783.889988), (128038.276861, 51222.621040), (138413.990623, 43414.613593), (138576.000000, 42915.999928), (136666.169906, 37038.147425), (131666.169889, 33405.434819)))
00014	 16	 13.1102	 13.2952	 1.2000	 0.4234	 0.9908	 (((140367.817035, 130692.417156), (139192.169906, 127074.147425), (134192.169889, 123441.434819), (128011.830008, 123441.434853), (123011.830031, 127074.147512), (121102.000000, 132952.000036), (122312.100007, 136676.304864), (127854.818240, 139977.546881), (135253.642205, 138995.679956), (140367.817035, 130692.417156)))
00014	 39	 13.2822	 14.5913	 1.2000	 0.5785	 0.9873	 (((129731.830077, 155423.565170), (135912.169957, 155423.565159), (140912.169948, 151790.852517), (141663.365631, 149478.909926), (135253.642205, 138995.679956), (127854.818240, 139977.546881), (128253.114043, 154349.215090), (129731.830077, 155423.565170)))
00014	 10	 13.4592	 7.6071	 1.2000	 0.7301	 0.9619	 (((137682.169889, 66560.434819), (135749.251183, 66560.434830), (128609.695301, 76711.606873), (133851.333089, 85581.565165), (137682.169957, 85581.565159), (138420.306281, 85045.277727), (139560.607984, 67925.199964), (137682.169889, 66560.434819)))
00014	 15	 13.4888	 1.7929	 1.2000	 0.5780	 0.9878	 (((137978.169889, 8418.434819), (131797.830008, 8418.434853), (130624.728671, 9270.742872), (129741.140871, 25945.293003), (131797.830077, 27439.565170), (136032.307143, 27439.665068), (142383.204879, 11618.877266), (137978.169889, 8418.434819)))
00014	 35	 13.6169	 5.3006	 1.2000	 0.5444	 0.9577	 (((139259.169889, 43495.434819), (138306.590445, 43495.434824), (128038.276861, 51222.621040), (127635.435081, 52945.032649), (133765.918177, 62516.565168), (137261.026205, 62516.565162), (144415.519562, 47609.342176), (144259.169906, 47128.147425), (139259.169889, 43495.434819)))
00014	 44	 14.1606	 10.7632	 1.2000	 0.3789	 0.9944	 (((151606.000000, 107631.999928), (151587.616341, 107575.420844), (140712.632558, 98121.434841), (138515.830008, 98121.434853), (133515.830031, 101754.147512), (131606.000000, 107632.000036), (133515.830073, 113509.852546), (138515.830077, 117142.565170), (144696.169957, 117142.565159), (149696.169948, 113509.852517), (151606.000000, 107631.999928)))
00014	 9	 14.2519	 13.9984	 1.2000	 0.4365	 0.9827	 (((140502.694610, 130473.434847), (135253.642205, 138995.679956), (141672.937249, 149494.565166), (145609.169957, 149494.565159), (150609.169948, 145861.852517), (152519.000000, 139983.999928), (150609.169906, 134106.147425), (145609.169889, 130473.434819), (140502.694610, 130473.434847)))
00014	 42	 14.3405	 7.6658	 1.2000	 0.5198	 0.9996	 (((146664.817300, 67270.690877), (145454.341192, 67147.434825), (140314.830008, 67147.434853), (139576.695035, 67683.721308), (138436.390060, 84803.798618), (140314.830077, 86168.565170), (143641.794621, 86168.565164), (152780.623314, 74736.366125), (151495.169906, 70780.147425), (146664.817300, 67270.690877)))
00014	 18	 14.3435	 2.1360	 1.2000	 0.6006	 0.9615	 (((151525.169906, 15482.147425), (146525.169889, 11849.434819), (142290.560545, 11849.664535), (135939.797760, 27670.116160), (140344.830077, 30870.565170), (142929.253870, 30870.373785), (151647.526971, 15858.459754), (151525.169906, 15482.147425)))
00014	 6	 14.5364	 5.7419	 1.2000	 0.4536	 0.9783	 (((154882.525948, 55937.175199), (145499.762796, 47908.434835), (144271.975971, 47908.434842), (137117.480260, 62815.657306), (137273.830073, 63296.852546), (142104.183111, 66806.309435), (143314.656528, 66929.565168), (148454.169957, 66929.565159), (153454.169948, 63296.852517), (155364.000000, 57418.999928), (154882.525948, 55937.175199)))
00014	 24	 14.6821	 18.8213	 1.2000	 0.3403	 0.9884	 (((156821.000000, 188213.000000), (154911.169906, 182335.147425), (149911.169889, 178702.434819), (143730.830008, 178702.434853), (138730.830031, 182335.147512), (136821.000000, 188213.000036), (138730.830073, 194090.852546), (143730.830077, 197723.565170), (149911.169957, 197723.565159), (154911.169948, 194090.852517), (156821.000000, 188213.000000)))
00014	 32	 15.0255	 9.7683	 1.2000	 0.4222	 0.9919	 (((160255.000000, 97682.999928), (158538.454775, 92400.017070), (145100.949643, 89671.931726), (142164.830031, 91805.147512), (140255.000000, 97683.000036), (140273.388495, 97739.594005), (151148.355936, 107193.565162), (153345.169957, 107193.565159), (158345.169948, 103560.852517), (160255.000000, 97682.999928)))
00014	 7	 15.0939	 2.5718	 1.2000	 0.4383	 0.9682	 (((154029.169889, 16207.434819), (151444.892507, 16207.374169), (142726.429388, 31219.615391), (142848.830073, 31595.852546), (147848.830077, 35228.565170), (154029.169957, 35228.565159), (159029.169948, 31595.852517), (160939.000000, 25717.999928), (159029.169906, 19840.147425), (154029.169889, 16207.434819)))
00014	 27	 15.2971	 8.4305	 1.2000	 0.4354	 0.9849	 (((152733.983844, 74794.434837), (143595.303562, 86226.408808), (144687.719043, 89588.030268), (158125.278447, 92315.902555), (161061.169948, 90182.852517), (162971.000000, 84304.999928), (161061.169906, 78427.147425), (156061.169889, 74794.434819), (152733.983844, 74794.434837)))
00014	 31	 15.4875	 4.6304	 1.2000	 0.3654	 0.9833	 (((144875.000000, 46304.000036), (145356.360142, 47785.474203), (154739.336520, 55814.565164), (157965.169957, 55814.565159), (162965.169948, 52181.852517), (164875.000000, 46303.999928), (162965.169906, 40426.147425), (157965.169889, 36793.434819), (151784.830008, 36793.434853), (146784.830031, 40426.147512), (144875.000000, 46304.000036)))
00015	 48	 5.6535	 12.6089	 1.2000	 0.3548	 1.0032	 (((59625.169889, 116578.434819), (53444.830008, 116578.434853), (48444.830031, 120211.147512), (46535.000000, 126089.000036), (48444.830073, 131966.852546), (53444.830077, 135599.565170), (59625.169957, 135599.565159), (64625.169948, 131966.852517), (65974.589218, 127813.767039), (61972.130184, 118283.601263), (59625.169889, 116578.434819)))
00015	 21	 7.0742	 7.1232	 1.2000	 0.3510	 1.0113	 (((76631.647748, 63755.374514), (73832.169889, 61721.434819), (67651.830008, 61721.434853), (62651.830031, 65354.147512), (60742.000000, 71232.000036), (62651.830073, 77109.852546), (67651.830077, 80742.565170), (73832.169957, 80742.565159), (78832.169948, 77109.852517), (80337.813387, 72475.958487), (76631.647748, 63755.374514)))
00015	 30	 7.0939	 15.6791	 1.2000	 0.3403	 1.0020	 (((80939.000000, 156791.000000), (79029.169906, 150913.147425), (74029.169889, 147280.434819), (67848.830008, 147280.434853), (62848.830031, 150913.147512), (60939.000000, 156791.000036), (62848.830073, 162668.852546), (67848.830077, 166301.565170), (74029.169957, 166301.565159), (79029.169948, 162668.852517), (80939.000000, 156791.000000)))
00015	 2	 7.1352	 11.9866	 1.2000	 0.4441	 0.9922	 (((74442.169889, 110355.434819), (68261.830008, 110355.434853), (63261.830031, 113988.147512), (61912.368257, 118141.363852), (65914.901681, 127671.421889), (67649.086367, 128931.380808), (73458.003170, 126993.562560), (79871.776796, 115310.341448), (79442.169906, 113988.147425), (74442.169889, 110355.434819)))
00015	 11	 7.6053	 13.3958	 1.2000	 0.4286	 0.9344	 (((86053.000000, 133957.999928), (85816.603607, 133230.446660), (73458.003170, 126993.562560), (67690.766138, 128917.474087), (66053.000000, 133958.000036), (67962.830073, 139835.852546), (72962.830077, 143468.565170), (79143.169957, 143468.565159), (84143.169948, 139835.852517), (86053.000000, 133957.999928)))
00015	 3	 7.7844	 9.9780	 1.2000	 0.3403	 1.0127	 (((87844.000000, 99780.000000), (85934.169906, 93902.147425), (80934.169889, 90269.434819), (74753.830008, 90269.434853), (69753.830031, 93902.147512), (67844.000000, 99780.000036), (69753.830073, 105657.852546), (74753.830077, 109290.565170), (80934.169957, 109290.565159), (85934.169948, 105657.852517), (87844.000000, 99780.000000)))
00015	 22	 7.9026	 18.5174	 1.2000	 0.4040	 0.9923	 (((87889.597360, 181676.512312), (73650.767360, 177323.630062), (70935.830031, 179296.147512), (69026.000000, 185174.000036), (70935.830073, 191051.852546), (75935.830077, 194684.565170), (82116.169957, 194684.565159), (85302.722192, 192369.635327), (88771.839330, 184391.523230), (87889.597360, 181676.512312)))
00015	 37	 7.9436	 3.8628	 1.2000	 0.3403	 0.9842	 (((89436.000000, 38628.000000), (87526.169906, 32750.147425), (82526.169889, 29117.434819), (76345.830008, 29117.434853), (71345.830031, 32750.147512), (69436.000000, 38628.000036), (71345.830073, 44505.852546), (76345.830077, 48138.565170), (82526.169957, 48138.565159), (87526.169948, 44505.852517), (89436.000000, 38628.000000)))
00015	 23	 8.0602	 12.4944	 1.2000	 0.6153	 0.9775	 (((79804.201813, 115433.434840), (73458.003170, 126993.562560), (85557.202733, 133099.539528), (88692.169948, 130821.852517), (89631.065603, 127932.228813), (82830.251746, 115433.434824), (79804.201813, 115433.434840)))
00015	 1	 8.2497	 17.3821	 1.2000	 0.3937	 0.9959	 (((73633.298545, 177318.167324), (87872.110096, 181671.458970), (90587.169948, 179698.852517), (92497.000000, 173820.999928), (90587.169906, 167943.147425), (85587.169889, 164310.434819), (79406.830008, 164310.434853), (74406.830031, 167943.147512), (72497.000000, 173821.000036), (73633.298545, 177318.167324)))
00015	 12	 8.6102	 6.4704	 1.2000	 0.3541	 1.0009	 (((88826.432811, 55193.434821), (83011.830008, 55193.434853), (78011.830031, 58826.147512), (76506.157048, 63460.132526), (80212.372129, 72180.639926), (83011.830077, 74214.565170), (89192.169957, 74214.565159), (94192.169948, 70581.852517), (96102.000000, 64703.999928), (94478.892142, 59708.587709), (88826.432811, 55193.434821)))
00015	 13	 9.2026	 11.8728	 1.2000	 0.3812	 0.9682	 (((83935.830031, 112850.147512), (82996.934379, 115739.771242), (89797.750962, 128238.565168), (95116.169957, 128238.565159), (100116.169948, 124605.852517), (102026.000000, 118727.999928), (100116.169906, 112850.147425), (95116.169889, 109217.434819), (88935.830008, 109217.434853), (83935.830031, 112850.147512)))
00015	 33	 9.4846	 19.2053	 1.2000	 0.3763	 1.0003	 (((97936.169889, 182542.434819), (91755.830008, 182542.434853), (88569.255560, 184857.415836), (85100.079548, 192835.663330), (86755.830073, 197930.852546), (89603.759604, 199999.994456), (100088.240424, 199999.994438), (102936.169948, 197930.852517), (102967.060552, 197835.715911), (103344.679335, 187432.443489), (102936.169906, 186175.147425), (97936.169889, 182542.434819)))
00015	 25	 9.7500	 5.0435	 1.2000	 0.3713	 0.9541	 (((106685.965762, 47929.660212), (105590.169906, 44557.147425), (100590.169889, 40924.434819), (94409.830008, 40924.434853), (89409.830031, 44557.147512), (87500.000000, 50435.000036), (89123.108708, 55430.414931), (94775.560964, 59945.565169), (100590.169957, 59945.565159), (101041.053780, 59617.978886), (106685.965762, 47929.660212)))
00015	 4	 9.8437	 1.9318	 1.2000	 0.4230	 1.0100	 (((107366.936885, 16024.684371), (97732.908147, 9807.434840), (95346.830008, 9807.434853), (90346.830031, 13440.147512), (88437.000000, 19318.000036), (90346.830073, 25195.852546), (94436.404969, 28167.102614), (107940.737537, 20845.338816), (108437.000000, 19317.999928), (107366.936885, 16024.684371)))
00015	 43	 10.1886	 14.9047	 1.2000	 0.4255	 0.9695	 (((103221.220161, 139536.434829), (98795.830008, 139536.434853), (93795.830031, 143169.147512), (91886.000000, 149047.000036), (93795.830073, 154924.852546), (98795.830077, 158557.565170), (104976.169957, 158557.565159), (109505.543711, 155266.782494), (103221.220161, 139536.434829)))
00015	 14	 10.3809	 8.7593	 1.2000	 0.3426	 0.9835	 (((113064.995669, 89882.809884), (112939.974561, 84918.414702), (111899.169906, 81715.147425), (106899.169889, 78082.434819), (100718.830008, 78082.434853), (95718.830031, 81715.147512), (93809.000000, 87593.000036), (95718.830073, 93470.852546), (100718.830077, 97103.565170), (106899.169957, 97103.565159), (111899.169948, 93470.852517), (113064.995669, 89882.809884)))
00015	 38	 10.4035	 2.9643	 1.2000	 0.4537	 1.0130	 (((108035.599395, 20793.900565), (94531.260013, 28115.668743), (94035.000000, 29643.000036), (95944.830073, 35520.852546), (100944.830077, 39153.565170), (107125.169957, 39153.565159), (110870.132518, 36432.690586), (111920.988544, 34327.120874), (108491.285153, 21124.975644), (108035.599395, 20793.900565)))
00015	 20	 10.6689	 0.6531	 1.2000	 0.4056	 0.9938	 (((97759.072629, 9824.344912), (107393.671873, 16041.565163), (109779.169957, 16041.565159), (114779.169948, 12408.852517), (116689.000000, 6530.999928), (114779.169906, 653.147425), (113880.196290, 0.004870), (99497.803640, 0.004947), (98598.830031, 653.147512), (96689.000000, 6531.000036), (97759.072629, 9824.344912)))
00015	 5	 11.0435	 5.6682	 1.2000	 0.3873	 0.9946	 (((113525.169889, 47171.434819), (107344.830008, 47171.434853), (106893.944266, 47499.022523), (101249.034365, 59187.340172), (102344.830073, 62559.852546), (107344.830077, 66192.565170), (113525.169957, 66192.565159), (118525.169948, 62559.852517), (119870.855661, 58418.254443), (115407.757237, 48539.214573), (113525.169889, 47171.434819)))
00015	 26	 11.0742	 14.5509	 1.2000	 0.5785	 0.9929	 (((113056.776119, 135998.434823), (107651.830008, 135998.434853), (103122.454673, 139289.218692), (109406.778309, 155019.565166), (113832.169957, 155019.565159), (117244.450250, 152540.398403), (113056.776119, 135998.434823)))
00015	 49	 11.1486	 19.2657	 1.2000	 0.4185	 1.0062	 (((120208.685761, 188725.831015), (107626.251976, 183705.566027), (103395.830031, 186779.147512), (103364.956403, 186873.816987), (102987.298303, 197278.172577), (103395.830073, 198534.852546), (105412.425301, 199999.994733), (117559.574726, 199999.994711), (119576.169948, 198534.852517), (121486.000000, 192656.999928), (120208.685761, 188725.831015)))
